,split,seed,size,Precision,Recall,F1_score,Accuracy,AUC_ROC
185,digits,4,6,0.7276521722709666,0.794325,0.7444075771629388,0.958865,0.8857361111111111
186,digits,4,7,0.9892073752115792,0.9892,0.9892003866071496,0.9978399999999998,0.994
187,digits,4,8,0.9844274940564948,0.984375,0.984384233099625,0.996875,0.9913194444444444
188,digits,4,9,0.8379429992563932,0.888725,0.8552499602482978,0.977745,0.9381805555555556
189,digits,4,10,0.9867921074793224,0.986775,0.9867758903332626,0.997355,0.9926527777777776
190,balanced,4,1,0.8259139169249152,0.8419148936170214,0.8327549306151901,0.9932729741964692,0.9192391304347826
191,balanced,4,2,0.5595693264386518,0.5976063829787234,0.5726347473152111,0.9828768673607968,0.7944293478260869
192,balanced,4,3,0.344995970698048,0.3898404255319148,0.3573712452585961,0.9740357627885924,0.6882880434782609
193,balanced,4,4,0.4996832192752994,0.530531914893617,0.5088102653723398,0.980022634676324,0.7601630434782608
194,balanced,4,5,0.4739699736615741,0.5056382978723405,0.4848611413414678,0.9789633318243548,0.7474456521739131
195,balanced,4,6,0.549089612986575,0.5662234042553193,0.5506425003653166,0.9815414214576732,0.7783967391304347
196,balanced,4,7,0.5765102642454156,0.59781914893617,0.5807714650348329,0.9828859212313265,0.7945380434782608
197,balanced,4,8,0.591742578623644,0.6163829787234043,0.6005273913615223,0.9836758714350388,0.8040217391304346
198,balanced,4,9,0.5129784071751987,0.5507978723404255,0.5272289035831985,0.9808850158442736,0.770516304347826
199,balanced,4,10,0.4864769857464184,0.5214893617021276,0.494525553945466,0.979637845178814,0.7555434782608696
200,fashion,4,1,0.5104066287474682,0.5978,0.5395722712464694,0.91956,0.7765555555555556
201,fashion,4,2,0.5541164699025047,0.6403000000000001,0.5784816944568515,0.92806,0.8001666666666667
202,fashion,4,3,0.5420225081815548,0.6345999999999999,0.5690480385255234,0.9269200000000002,0.797
203,fashion,4,4,0.634001288724298,0.714,0.660915715448408,0.9428,0.8411111111111111
204,fashion,4,5,0.6107460375041963,0.6733,0.6287396634807481,0.9346599999999998,0.8185
205,fashion,4,6,0.7315997502288598,0.7755,0.7468644463129219,0.9551,0.8752777777777776
206,fashion,4,7,0.7364406376351946,0.78,0.7513561657417951,0.956,0.8777777777777779
207,fashion,4,8,0.4701977334220282,0.5600999999999999,0.4895953831139575,0.91202,0.7556111111111111
208,fashion,4,9,0.6246575443422878,0.6853999999999999,0.6431275145896991,0.93708,0.8252222222222223
209,fashion,4,10,0.540164818002645,0.6390999999999999,0.5696508183155158,0.92782,0.7994999999999999
210,digits,28,1,0.7276274921515695,0.7964499999999999,0.7456107167358221,0.95929,0.8869166666666668
211,digits,28,2,0.8417942324813102,0.8942,0.860254117963996,0.9788400000000002,0.9412222222222224
212,digits,28,3,0.9922736251782676,0.99225,0.9922539982250812,0.99845,0.9956944444444444
213,digits,28,4,0.7278184263340328,0.7949999999999999,0.7448479151148757,0.959,0.8861111111111111
214,digits,28,5,0.9905017625711852,0.990475,0.9904804839898336,0.998095,0.9947083333333332
215,digits,28,6,0.841085589922268,0.8919750000000001,0.8584250063201916,0.978395,0.9399861111111112
216,digits,28,7,0.6171256928500128,0.692925,0.6328385920508016,0.938585,0.8294027777777778
217,digits,28,8,0.9897291197568712,0.9897,0.98970240072965,0.99794,0.9942777777777778
218,digits,28,9,0.9879709032185748,0.9879500000000002,0.9879533906990712,0.99759,0.9933055555555554
219,digits,28,10,0.7261241671319019,0.7937000000000001,0.7434534364650605,0.95874,0.8853888888888889
220,balanced,28,1,0.7920689079293554,0.8215425531914895,0.8044195906673044,0.9924060660932548,0.9088315217391304
221,balanced,28,2,0.477285429634817,0.5248936170212766,0.4944062754399358,0.9797827071072884,0.7572826086956521
222,balanced,28,3,0.4991610570750325,0.5472340425531914,0.5128662226850073,0.9807333635129016,0.7686956521739131
223,balanced,28,4,0.4763886135215534,0.5158510638297873,0.4861771710381917,0.979397917609778,0.7526630434782609
224,balanced,28,5,0.4530609603447555,0.4884042553191489,0.464996440948638,0.9782299683114531,0.7386413043478262
225,balanced,28,6,0.635901728287564,0.6528723404255319,0.6377523152920971,0.9852286102308736,0.8226630434782608
226,balanced,28,7,0.5246644519415775,0.5456382978723404,0.5292705768116217,0.9806654594839296,0.7678804347826088
227,balanced,28,8,0.6587549788260019,0.6764893617021277,0.661235744866758,0.9862335898596652,0.8347282608695651
228,balanced,28,9,0.4940294781028255,0.5250531914893617,0.5030075858496444,0.9797894975101856,0.7573641304347828
229,balanced,28,10,0.4458389869832651,0.4728723404255319,0.4526801765058845,0.9775690357627888,0.7307065217391303
